ENSA Nancy - Travaux de renforcement des structures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Milestones;;;;;;Phases;;;;;Tasks;;;;;;;;;;;;;;;;;;
N;M.Name;M.StartDate;M.EndDate;Previous.M;Next.M;N;P.Name;P.StartDate;P.EndDate;P.Requirements;T.Name;ID;T.Duration;T.Men;T.Previous;T.Team;4DObject;T.Level;ObjectsCount;T.Zone;T.State;Constraint;Information;Materials;Man Power;Equipement;Safety;;TeamColor
1;Période de préparation;01/09/2020;10/11/2020;N/A;Travaux TCE;1;Période de préparation;01/09/2020;11/10/2020;Requirements Exemple Text;Préparation chantier;101;10;10;;Team E;3A09359C-29BA-42D8-B979-578CA26E9C16;Etage Jaune;;;Not Ready;No;No;No;No;No;No;Team A;Yellowish
;;;;;;;;;;;Prototype File 18;102;20;8;101;Team E;3A09359C-29BA-42D8-B979-578CA26E9C16;Etage Bleu;;;Not Ready;No;No;No;No;No;No;Team B;Redish
;;;;;;;;;;;Conclusion Adaptation;103;10;2;102;Team E;E7F3642F-589A-4CF9-BEEF-210859EFCC71;Etage Bleu;;;Not Ready;No;No;No;No;No;No;Team C;Blueish
2;Travaux TCE;11/09/2020;05/07/2021;Période de préparation;N/A;1;Reconstruction suite au sinistre;11/09/2020;09/12/2020;Requirements Exemple Text;Démolitions-Travaux préparatoires-Stabilité provisoire;104;5;4;101;Team A;194DBE1E-16B4-4FAC-BCF5-C67B154B3571;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;Team D;Orange
;;;;;;;;;;;Fabrication et approvisionnement des panneaux/poteaux/poutres;105;60;4;101;Team B;F554A9F8-B7D8-4436-834A-DF2C64255CC6;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Travaux préparatoires de S/Sol au RdC;106;6;4;104;Team C;AEC8B4A1-6E1E-4962-99DD-80A767B2BDEF;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Dépose du bardage;107;5;4;106;Team C;4E2ED3A3-9135-43CA-989A-4B2B94015DE9;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Remplacement du linteau;108;5;4;107;Team A;2BFB7D25-90D6-49D8-B467-B6CF4B523827;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Pose File 1;109;15;4;105;Team A;61E916E8-E94B-41D9-9CD9-E53D3E31DEE2;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Pose escalier entre RdC et Etage;110;10;5;109.111;Team A;789B1B63-F041-441F-B642-7FB4DAB2F0A6;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Pose File 0;111;15;5;105;Team A;2A8600AA-C58C-432D-9AFE-493BC2C94FAC;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;2;Travaux File 18;16/09/2020;16/12/2020;Requirements Exemple Text;Echafaudage 1;112;5;4;104;Team C;329776D2-920E-4248-9B40-AD7D7FD1BEB5;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Dépose couvertines;113;2;4;112;Team C;9FA43E5F-31DB-4018-A31A-C959EFA45977;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Dépose des scotchs 1;114;3;4;113;Team C;553B7D3C-CEC0-4519-A5F3-A1510E801ADA;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Solidarisation des panneaux sur structures;115;15;4;114;Team A;D8F5080C-B070-4390-A9CA-74780A5EEF73;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
